m/z,Jant_AD80_1,Jant_AD80_2,Jant_AD80_3,Serratia_PRI_1,Serratia_PRI_2,Serratia_PRI_3,TSB-agar__1,TSB-agar__2,TSB-agar__3
201.5090257,0.00018981,0.005815239,0.007117748,0.010131694,0.000370546,0.000783985,0.002040615,0.000257939,0.000221849
202.0799419,0.002535488,0.000374727,0.000291645,0.000356241,0.003302594,0.00043151,0.000607,0.000163104,0.001521268
202.4328852,0.000916191,0.003576245,0.003570875,0.010043234,0.000403597,0.001068823,0.000760068,0.000104476,0.000368923
203.2237519,0.00099438,1.43E-05,0.000141078,0.00345768,0.002644175,0.003090201,0.001264859,1.58E-05,0.006895998
205.1300103,0.000646049,7.14E-06,8.23E-05,0.007482238,0.002144925,0.000352592,0.002813543,0.000203631,0.000295063
206.3982562,0.000318435,0.022513008,0.026475783,0.007766352,0.000127406,0.001710776,0.000700761,0.000328569,0.000143741
207.2250138,0.003083194,0.007022651,0.008551027,0.001714514,0.00299544,0.000915466,0.001664177,0.002741637,0.023878426
208.2183506,0.000558709,0.0162383,0.015950469,0.022293906,0.000961183,0.000420821,0.000364015,0.002853912,0.005319931
209.0321914,0.003694948,6.60E-05,0.000709593,5.26E-05,0.003827597,0.00200099,0.002814911,0.002016316,0.026226035
209.1857535,0.001520916,0.001617389,0.00135759,0.004204419,0.001695254,0.001038885,0.000408962,0.001978133,0.008149347
210.0053328,0.000827372,0.019112564,0.008460321,9.94E-05,0.000804574,0.000687913,0.000819437,0.001774342,0.004477332
210.2661796,7.53E-05,0.00902402,0.012312479,0.006483233,0.000573144,0.000997897,0.000768639,0.001709482,0.000300968
211.1268764,0.002771092,0.000445649,0.001378612,0.002090014,0.002575115,0.000690915,0.003017314,0.001118017,0.011541478
212.1634805,0.000590803,0.004947343,0.00477084,0.005842763,0.00050793,0.000987887,0.000923882,0.000646666,0.000106033
212.2499171,0.000587276,0.011774696,0.015317612,0.00736036,0.000691654,0.001162106,0.000894923,0.000624317,0.000111487
213.0660392,0.002843822,0.001118612,0.000414488,0.000633935,0.002635084,0.001421114,0.004041569,0.000413298,0.006738038
