m/z;Intensity
184.5077;32.8
184.5445;33.8
184.5615;22.2
184.607;27.3
184.6345;26.2
184.662;36.3
184.7436;26.4
184.8196;23.2
184.8382;30.3
184.8694;30
184.923;27.7
184.9469;4798
184.9575;27.4
184.9828;41.2
185.0072;131.5
185.0217;103.1
185.0274;18.5
185.0453;4895.5
185.0564;2377.3
185.0817;7694.2
185.1103;30.9
185.1181;726.8
185.1441;82.4
185.1544;6217.2
185.1633;38.7
185.1782;28.3
185.3742;32.9
185.4622;43.5
185.4774;32.4
185.5299;25.3
185.5407;22.5
185.5513;26.7
185.6234;55.9
185.6382;57.1
185.6448;23.1
185.671;48.6
185.695;26
185.7514;25.9
185.7895;55.3
185.8448;20.9
185.9131;26.3
185.9764;54.2
186.0408;397.1
186.0665;24.6
186.0769;27155.1
186.0846;28.7
186.0985;20.5
186.1133;18181.5
186.1195;38.1
186.1534;23.4
186.1931;49.5
186.2144;41.6
186.24;20.7
186.3024;33.8
186.3112;28.6
186.3741;23.2
186.3944;22.7
186.4739;30.8
186.5198;22.7
186.5329;49.3
186.5764;32.8
186.7631;24.7
186.775;22.2
186.9657;23.3
186.9837;116.3
187.0017;59
187.0068;2217.3
187.0182;19.7
187.0246;2930.6
187.0371;22.5
187.0391;44.4
187.0409;35.7
187.0609;9173.2
187.072;35
187.0803;433.9
187.0973;23953.7
187.1167;121.5
187.1336;140.6
187.139;31.1
187.2018;33.3
187.4344;22.2
187.4499;26
187.4875;29.7
187.5042;26.8
187.5507;25.6
187.5712;22.5
187.5942;28.9
187.6206;37
187.6976;42.8
187.7399;23.7
187.7721;24.7
187.8119;21.3
187.8273;34.5
187.8976;36.6
187.9589;19.7
188.035;4721.7
188.0562;9890.4
188.0634;34.6
188.0821;38.5
188.0925;11250.7
188.1005;307.5
188.1613;33.6
188.1861;34.5
188.3254;26.8
188.4066;24.1
188.5776;31.7
188.6763;25.3
188.6931;2865.9
188.8193;30.3
188.9091;26.1
188.9154;28
188.9368;22.4
188.9747;16.8
188.9813;3046
188.9933;3238.7
188.999;145.4
189.0087;141.6
189.0217;27.3
189.0296;541.6
189.0403;3827.4
189.0594;19.1
189.0766;2496.9
189.0972;26.9
189.1129;48.9
189.1374;27.5
189.1408;27.8
189.1902;27.2
189.2119;24.3
189.272;41.4
189.2836;19.7
189.4395;34.7
189.4582;26
189.5281;26.2
189.5892;25.2
189.6535;21.3
189.8208;32.3
189.838;25.1
189.9329;21.3
189.9754;61.3
189.9826;19.7
190.0174;47.7
190.0454;28.8
190.054;18450.4
190.0819;33.5
190.1043;43.6
190.1931;25.8
190.2386;30.2
190.3112;96.2
190.448;21.2
190.4662;23.6
190.5494;28.5
190.5898;28.4
190.661;27.8
190.6821;56.3
190.7155;28.1
