"","BurAD24_1","BurAD24_2","BurAD24_3","ColTer10_1","ColTer10_2","ColTer10_3","ColTer282_1","ColTer282_2","ColTer282_3","ColTer291_1","ColTer291_2","ColTer291_3","ColTer331_1","ColTer331_2","ColTer331_3","ColTer6_1","ColTer6_2","ColTer6_3","ColTer91_1","ColTer91_2","ColTer91_3","DyAD56_1","DyAD56_2","DyAD56_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3","TSB-agar_1","TSB-agar_2","TSB-agar_3"
"group","BurAD24","BurAD24","BurAD24","ColTer10","ColTer10","ColTer10","ColTer282","ColTer282","ColTer282","ColTer291","ColTer291","ColTer291","ColTer331","ColTer331","ColTer331","ColTer6","ColTer6","ColTer6","ColTer91","ColTer91","ColTer91","DyAD56","DyAD56","DyAD56","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI","TSB","TSB","TSB"
"255.1/32","569.656932750251","0","0","0","15673.2236522436","0","1526.30772813223","15263.6526038773","34616.4568638738","0","10599.1410168886","0","0","89730.6417030924","0","0","0","14679.9948359375","0","0","0","487.655560709636","0","0","0","0","0","292070.188843218","343080.380028364","22009.3270677835","4724549.2623042","38186.2770827343","11107133.6062725","8006.48599718697","0","7386.37101129939","0","0","0"
"257.2/65","72843.1121156671","60165.3125664017","89160.4409704422","174678.658420654","195814.86318175","76972.3561249673","9434.03225070238","84161.6459612756","49867.0751857356","43548.5179864807","140223.366290418","57505.143011396","35266.1033500973","145010.420147481","110693.811837821","166524.008022964","324661.468941207","156314.664995628","142777.744468451","135688.62125167","47083.3822843777","37981.1849107991","113555.975881337","334220.888382386","463461.663803242","28611.5811921338","190897.444984726","97161.200955","21550.7493619288","64795.2105888267","130866.270572206","7776.04022561278","335028.188257031","115991.347322789","57163.7631649217","154971.633758594","127823.476443103","30288.5995380521","255679.160980039"
"258.3/43","0","0","8263.2570040039","21214.5151875168","0","44025.3733126086","1711.76885500768","27445.5077436715","0","10596.1311111704","13283.1189035922","18761.8535725971","2638.39689083993","26607.3442310095","6417.97085165357","0","17063.1107620299","5112.70413444377","134263.884835174","72500.2074488672","0","4226.58008585613","1713.77752158791","0","13401.6697617173","0","2724.20212200657","0","5197.44353543501","103400.776592419","0","7542.69610810057","0","6716.80681786296","0","12234.4443976831","25875.6464822665","283395.915542793","19990.5197480569"
"259.2/59","8189.60780375898","7262.61148079336","0","14742.9243173897","48452.081620882","60832.402276665","22233.6217302432","11327.1890229642","72277.1976694514","9540.90456865231","0","6100.47419266552","1992.86662605628","50851.8558610886","19278.9463831559","40174.9331994727","82771.6469606683","51365.2332139984","0","0","22179.1601975436","26240.7600431543","557.066961833276","0","0","0","11738.9374753237","4765.19328746498","0","0","0","12992.8097352343","0","13832.9445534994","18486.510960844","5634.78842480469","64992.0642481327","21348.5055284301","32957.0776387056"
"261.1/10","1663216.83798684","206644.526157769","232571.016972656","797002.822769615","3538669.68570133","1944992.02078752","2558749.2175544","2427909.16954442","521686.46394761","1969289.73434624","176887.405123815","581212.098113353","2821854.39527946","1240050.49006398","161499.735042436","3393745.59597152","49961.482479324","621804.172912923","1400464.40979517","1112819.19754845","1768808.41411629","10282.0200974414","1348424.7580207","57731.6417929686","3801201.57666818","2068302.86075174","2292160.62883168","14944177.5370151","2772071.69935178","3508202.60777447","1179445.14593734","90500.3679101563","3320270.62186693","2252682.81015234","1771335.3168451","1077951.05817083","1083356.45403547","3751748.10171407","1051845.66854013"
"273.2/88","2019.31732273102","0","6808.46744807512","35583.4382182956","42287.3474998593","36236.2376921624","70657.2363805324","40254.433203768","8024.86555963133","59095.0795917213","0","72821.8717925772","15378.4311358929","49589.9261894533","10626.9122960656","22896.0771894531","55246.9919637352","40239.8959574608","87238.1380660832","0","21368.2894716337","12134.8617858252","5533.8526268065","39134.9958745539","0","44909.6191898823","30268.0922714844","15262.3339464432","0","69111.9852762401","110848.659725226","5133.70427846909","46293.459626776","7858.5400907211","9865.98415884065","2255.01764511457","0","59542.9445709765","86899.057639733"
"277.1/42","42698.4518149868","0","13323.1025828125","55972.6450705938","222853.414360017","70981.4926187197","135114.258826774","58351.381193307","29595.961278983","22090.9615907843","11928.0950373709","5260.66684742272","30452.0251480117","79514.1858001153","137784.402158689","21763.2869284277","103875.265232182","85906.5094728349","130611.288096853","0","62158.843701829","39760.4418377406","78589.5527616406","91356.6187649965","212779.281747781","121660.622436106","47856.9572139457","55780.4310164094","57391.5223451527","222568.14403621","87478.025348936","10338.7040683984","331123.876621875","21286.2974593034","30674.5446946561","178206.329340577","109317.00844184","226280.04265945","99779.402948916"
"279.2/7","13962.4054054553","46192.0428993273","15737.2622710181","92744.9730518228","75171.4295172878","96121.0720343582","30116.0248496916","63412.7054663141","34077.9814724783","32534.84803216","41847.7765197325","57468.76637782","10733.1337817253","262866.380771738","32066.2052317598","56708.2516101932","88835.8691597686","20291.534121567","83289.299853633","125315.61180975","34627.3936437403","22996.5059062109","34891.2586377737","28724.9174500406","23979.9872568576","28882.9281732772","1898.60639801171","62263.1029208853","42193.4996169143","39272.6795756361","25699.4349318347","7440.45179036446","28329.0782774178","10143.7789626605","5077.52715129638","34775.1140677202","19913.0099277142","68493.8172613978","544832.111915148"
"283.1/98","0","8996.95181963034","58632.3637934765","9572.92165605426","15179.5340919495","0","3423.76000998542","8247.41095040291","63695.241606921","0","0","5542.46774349362","0","0","18562.5488631427","12202.9694986828","0","1993.29735128046","23721.0104129128","21057.1445996761","0","6722.93606657958","1909.53453792756","0","22554.7529606149","0","21297.9014932394","14535.3779086992","563.191426350269","0","0","10929.4848669718","54768.316719743","27322.6440908909","2397.31267849635","7265.74690682689","38998.3801016808","0","0"
"284.3/12","8250324.91097716","154406.024555033","270222.275764733","71946.7312984047","430907.722782486","1234706.96566169","4704476.20964844","650386.831579348","20265.8363818359","606324.045178137","2514595.09716602","380689.744810372","494293.61158893","2231845.55333366","67067.9967669702","496405.828083122","816150.465650125","71687.3767374651","460147.186913803","1381606.39251778","79820.0989032664","322692.014355469","417724.838738018","929861.837764161","163482.365440173","835179.631505854","425735.306867161","188725.129761734","1348207.3390093","1043648.55498037","1358391.40343769","9352.85296405639","311351.487267506","60613.1946567482","716280.352254937","184492.998973212","217410.323164442","647663.749471343","3596245.21496236"
