"","ColTer331_1","ColTer331_2","ColTer331_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3"
"group","ColTer331","ColTer331","ColTer331","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI"
"297.2/34","123919.330102083","81351.8052229285","124555.040727485","2842717.26710728","947864.136836891","1367072.44184288","33379.4086539701","5043794.36988473","192953.714627441","289782.874672333","11640.5923937256","447031.571307944","262286.53246998","1167517.68627572","255994.657253072"
"305/4","0","0","2045.1180649759","899.420030029563","0","0","10466.9400889868","28181.4061816406","0","2471.86101136495","0","0","1441.59175473661","0","0"
"307.2/38","35081.3109269472","35781.6533716518","12617.5984448242","73887.9364294745","94230.3578855197","74290.7390681963","39113.9337866015","149007.879975438","65801.2059453125","17866.2126916504","148318.884763465","165287.882170144","20447.6308830019","113470.640346224","36985.3157223212"
"309.2/33","25782.1845370313","1275434.53038281","414385.975303799","2099491.26487336","1907804.70502901","2977591.96205002","1114708.21605078","1732511.78471922","1478798.19355469","3362615.46660058","2711596.04452082","4153251.72306329","920631.354031778","3290142.04928934","784307.958277537"
"310.2/30","176901.34961068","253471.847159467","60202.5468458897","316862.976594607","221906.641066048","403123.491882226","186378.791127398","228252.64102007","251677.251497803","417665.996717585","442653.317985046","550281.48498551","136786.055136551","303387.376406387","91062.6778917754"
"311.2/35","5655.15802404378","30906.5783178711","515971.176590981","9165689.20766661","2837645.72574306","3842672.95284092","1237278.91100918","21222.5902587891","767103.689333203","1463820.91557694","1617381.43941733","2341394.30166986","494023.670888672","4357006.05424696","1230055.45193145"
"312.2/28","99293.0195825897","149833.335943697","92110.8050817635","19077.6335255859","495135.039047222","729234.829433105","71954.2629405287","1808127.3361147","149764.402516146","233232.821614121","272906.208132979","373600.53348695","206450.383271695","706081.010169789","331827.70264576"
"313.2/30","135758.747324923","395692.453675947","137833.004458004","499556.638895389","405177.959981434","488177.32506826","257231.429923497","752157.789446175","61112.5504182547","963278.958091691","650932.383883074","1296888.52072535","432666.658709326","1159295.699919","274206.753306093"
"313.3/33","51227.8293700949","341905.797196768","113998.803093137","494466.378279392","331173.819513193","289678.428969048","449705.969052319","568595.214611739","77656.1096954677","663449.868494908","391478.952632161","1031156.10672683","130969.968073279","962630.999659201","166737.061430953"
"315.1/30","236399.578131063","246029.876300358","41572.9816783424","517392.992819438","275070.347920409","303345.461472832","73511.8716685221","21550.6392479148","349097.742750244","23618.255299292","522997.205570371","469983.089387833","1339975.79835066","576122.551922073","344555.519642073"
"323.1/26","12481.6207867432","1103.8783416314","98118.7309557246","15747.3309433594","53183.6254292821","170344.887164289","82335.6056167542","151869.786918989","174042.213784749","21943.7825746155","156559.275498993","17065.6141462207","74767.3659567761","61041.988827276","40374.9916754255"
"325.2/28","456269.481398076","432796.091757813","636253.54388275","25123.1425639844","3632501.73962116","5016336.52578566","52248.0192527086","10972651.3233809","48097.9568904785","1791945.54230769","1900654.63658524","2749002.04513804","1714241.43277027","4608489.2493923","2316106.26886483"
"326.2/21","95985.8947017793","0","146685.287480816","3090892.32429486","1119646.45811465","1338438.47695648","25821.7305715942","2473641.21147413","65537.2280880108","397330.200286122","487850.387286784","559692.356434606","224048.929920936","1350405.93544584","666655.626558319"
