"","ColTer331_1","ColTer331_2","ColTer331_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3"
"group","ColTer331","ColTer331","ColTer331","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI"
"338.3/10","20313937.6444594","30126199.8067279","12722972.5362572","8111275.7026142","11724338.9986092","12555248.5102405","58563328.3963134","10411251.239165","15177194.2225833","59179.1435546875","3769195.85999901","15934849.5200071","3086142.17086798","6093877.92066023","6735239.11302803"
"339.3/13","3183555.32058828","94166.4434125","2792476.68904036","3149838.44731901","2177094.02850619","1581485.72550737","3028378.4125","1951329.52922585","2547133.31178811","1957070.80309803","7521.12141805013","3369040.16895797","28217.7746029574","1663709.13921875","675849.250654743"
"350.3/57","281356.889736411","2450361.10780751","205743.04432583","4694403.79573876","2555601.39649023","72179.3551740625","501899.198780894","80699.1550351167","3081801.29055277","1604788.47598489","12957.2503214518","2996231.38136168","7524807.87365692","5460263.50598607","4936216.23198601"
"353.3/56","42994.1876228094","99203.5757885156","142036.647231698","555750.097533623","720126.136644065","256832.971875054","286274.8722241","69592.9164858721","625949.210855484","459943.455728143","8183.2091208903","505641.119990051","42608.1053632812","377862.260504901","8354.44750097654"
"379.3/92","10225.4550348123","11977.031655848","35144.6472955681","50310.4990825653","75363.9802617497","28462.5369669613","75422.0913548589","8217.03603959084","164389.895561288","1824.59777202038","71165.4295380858","214547.408754435","161960.513102192","7796.0845639038","0"
"381.2/55","86484.1134614825","805126.692915599","133352.874283493","1269576.04732355","950700.212603426","339193.500982741","380984.236551732","75560.2325648524","980711.907669584","513560.766827315","5524.85889273925","1903349.31117187","35386.3774732617","1259552.21083674","466856.599023077"
"394.3/70","0","0","7372.58584155142","4288.25667717308","12375.8857609659","0","57382.9054679424","0","21474.8119773984","59143.7388285398","11703.9396276855","0","24031.0214536133","5175.78670030517","8304.89657670744"
"397.3/59","172171.289616","683497.465831831","1379828.57508914","587091.550532341","1455092.20693558","77243.9604247071","84670.1997639487","122815.24306272","1123017.47528101","889997.21202755","9107.7379561035","179258.388103125","70584.966667969","361161.300144263","5670.88101953124"
"401.3/75","13296.1979742926","0","0","0","0","0","3444.64259766042","956.580297289789","18686.5947673172","0","8470.97288391113","93576.4056874999","4056.1591704905","19040.7359242186","0"
"413.3/52","44683.4794103366","9234090.29628694","782188.218961633","3605263.00916855","5935761.32474","5283166.95833926","4812982.20468765","959577.484637482","3711955.56688113","2335879.7123148","12884.9994157031","2308099.27690966","47498.4200326538","936435.595706662","2579265.0821277"
"415.2/5","1815704.98387531","3605010.05560624","853687.244927759","786102.676741758","3716259.73724467","2391603.40517846","613143.448095056","103757.574778082","2180421.93693225","5198978.40142885","344893.996467546","5604357.71634732","818615.994436384","1442971.20258759","1033396.50684285"
"419.3/2","737864.082126383","5169239.26620575","3471020.62420405","664331.683230503","549829.211311386","487812.711763123","1769455.3356457","2039039.66759011","1725138.88814776","416413.367225422","308143.786500129","710441.808359125","469119.304301408","191978.073521532","574206.010319674"
"421.3/50","1318239.68428947","23700408.8435289","7085590.88462354","1805820.10643706","3843611.54200736","2334942.7887235","3712317.97300753","6031710.71813504","2264434.07030896","92101.9296386718","6032.34728325602","1978905.23138021","2110721.36298118","402554.58875991","4611723.21566051"
"424.3/73","21927.560952189","0","791450.516575196","1006637.91214022","684076.976945224","1233852.42741644","3756643.78899721","103356.800970459","1934341.67133962","1337772.53853711","495195.533018188","3390092.5028758","1338045.88663511","619988.957489768","420331.595630056"
"425.2/56","72911.7312774599","555833.116455257","279868.343196374","557898.667802649","36770.9692721485","282900.921572596","397830.475633951","27234.4328007811","483740.122379568","442306.464301599","7740.53318318685","535895.602129132","531270.164850508","59024.4931966406","82350.0172605827"
"427.3/63","15526.9128162445","56988.9730716124","20791.0162294284","0","32961.6043018685","0","12493.4421438277","8242.75006127933","163500.236548473","16900.8992556185","5036.36013234376","16803.1969784498","436684.159510217","1227.41263983026","13119.9818819629"
"429.2/58","54793.5854773063","909257.025507689","899431.386876134","1458852.10258674","1667536.23882879","886594.585080655","2571359.69890398","321075.311186244","1676313.62623636","668417.928488907","309990.018473314","1465633.09097176","1189854.16878706","9069.4793803711","570597.530737397"
"435.3/55","6750.7113232825","0","31195.0997248292","0","0","7636.63574274878","17596.040788427","28966.1108602412","32521.1734992067","0","9961.83310833006","0","8535.96187158203","98149.3678945989","12259.2062949816"
"441.3/41","36754.004031806","417988.768448591","998360.502886172","1638540.91774529","322589.837149203","84609.1345571131","144075.391390547","25350.2832067578","133829.516975033","77258.0985530075","31685.4619853516","43669.1392639019","1185195.30366692","9133.59060267607","112313.917074658"
"453.2/81","751380.773451464","175357.273380764","680982.635298933","2404035.29506579","2167853.31720856","947670.76981184","625473.974484762","130803.303540101","3389935.84150961","2167365.71845478","13641999.1940309","1947652.93793634","3452736.53004808","47375.2007263672","3732791.24265599"
"454.2/64","47815.3165651085","13766.6226325583","52402.0970455696","549996.520139172","746483.883825798","877639.401942539","36608.7691198949","18210.3334585938","178906.854671875","545945.784668744","3361778.9620835","2173179.26890192","1714433.89590816","307584.308178722","527228.619864844"
"457.3/32","43752.8773193359","0","1307855.02215473","205914.414624146","63934.3445764109","151134.520662711","94669.4141367187","24703.7603288788","214893.237373576","97197.8438188329","4538.17895544434","306007.028234898","11906.164981831","4540.55739751481","47109.5507291537"
"463.3/3","931582.736248685","7372110.52398643","4418041.38023159","766264.954062481","367037.815094377","259855.731707694","1599335.13952161","8248520.32989207","2931441.44627919","375191.801067559","96519.8127419212","581622.88260262","473925.190053081","217474.642446151","13658.8798231201"
"467.2/100","73741.2164153606","0","6206.48808297701","7440.49609572887","114575.800720435","141014.417630689","17935.7011620849","0","171419.587861776","67654.6663598977","16015.6065702008","125155.155477405","17887.6113873558","21789.4310833481","6351.36438574219"
"481.4/56","6892.8056551454","0","11546.3162735353","0","43546.6878328123","0","0","28351.6515849022","0","0","6342.66148480958","0","696.280238115927","84987.8246445313","15319.349670625"
"496.2/69","75849.3825997422","100606.462005615","11848.317648679","61153.8565030098","17933.4319452345","100249.959420625","0","34791.1903164061","97116.0501093751","58186.3613844886","23775.0134375","53133.9515080055","0","9554.8050776124","2366.68606683612"
"507.3/3","842153.421567104","7229558.85753878","3780771.88827344","767936.914035718","475705.748582212","340731.229543512","1080086.1721352","6294213.17880485","2164256.76132777","449834.970838283","62813.6472469076","190274.511420694","405464.969420339","117548.14876121","119601.43811337"
"541.4/87","19956.8801052347","60394.3153221309","51143.406545046","161375.814096485","24400.94509238","97258.6738873497","38839.3131753504","3627.53497870266","115298.048775971","69245.3021752685","93020.356283203","12634.9431935325","14728.8594076538","156575.841685999","43166.3593154297"
"551.4/4","856635.698530075","8549113.51167722","3271713.50608031","892116.943450036","682801.067155965","262555.881699901","995953.971586486","6063174.38889692","1709745.46748746","423678.532252014","56376.0467497113","284413.620363531","305830.102178154","128157.157032825","92504.7103410796"
"552.3/58","76616.8486807739","369878.484580874","886240.355598661","91600.1485718489","398330.159981489","194125.197987859","73108.9972515234","71078.6290685423","233832.994413582","163306.781460464","27259.5491422404","66765.2023105025","0","15433.7908549666","3540.13238655562"
"563.5/85","81163.7850430235","304787.893027219","16292.1257741451","4042.52141893452","363516.027277198","203221.987852684","70365.1308826357","60410.4009443088","497230.628545623","98601.4209234692","7004.22330270182","182790.684453776","531.087765232453","0","784.108341252338"
"575.6/57","1210.88294509364","0","0","0","0","0","0","0","0","0","8041.07249525392","0","20839.3179265693","8262.33261366575","0"
"595.4/31","120153.10028527","6480994.66121974","2664259.12561219","726038.106314064","572209.753003396","88418.628033787","33220.1129745738","640617.129790038","454466.555840939","190709.571524801","6380.65167671876","215296.922916523","14436.3577933067","13133.6663696411","32501.7753489216"
"632.5/73","863.647238277365","0","0","253960.799845257","0","0","3210.95908735041","0","24712.9529518644","42157.5526219577","1375.16244136963","109866.365255772","1970003.22285779","900874.870137025","523466.275024729"
"661.6/21","69023.7765324633","182384.962777639","0","712983.334413018","150062.828309769","41243.2048460998","22455.527170432","0","684367.294939638","372739.964043771","0","44322.8764572001","514509.029564417","5212347.19952012","2084534.40277607"
